trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.1, 'e': 0.23349492727035415}",20,0,-24.27713979981593,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.1, 'e': 0.22882502872494706}",35,22,22.476835246169987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.22424852815044813}",25,8,21.130049621186032,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.21976355758743915}",20,0,16.528043557038124,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.21536828643569036}",30,16,-11.56509306793826,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.21106092070697655}",20,0,-18.52279686175915,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.20683970229283702}",25,2,-19.06855348787817,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.1, 'e': 0.20270290824698028}",25,5,18.41498134286626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.19864885008204067}",25,18,10.95986689721784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.19467587308039985}",20,7,23.34294566596323,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.19078235561879187}",25,2,4.986251898628136,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.18696670850641603}",20,8,-1.248974995975424,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.18322737433628772}",35,17,19.520835302645416,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.17956282684956196}",20,1,-5.150504360780341,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.1759715703125707}",20,7,26.088874587927645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.1724521389063193}",25,17,8.77343805252086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.16900309612819292}",25,15,11.810980913235129,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.16562303420562907}",35,21,21.817339876296383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.16231057352151648}",25,8,13.136872607299107,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.15906436205108615}",25,14,-4.623841380309889,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.15588307481006441}",25,15,9.417829249258421,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.15276541331386312}",25,14,9.032268432094693,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.14971010504758586}",20,0,-22.164344300638177,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.14671590294663414}",20,15,9.0913131423422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.14378158488770146}",20,12,11.32736696051002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.14090595318994742}",35,9,-39.17695809273405,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
98,False,"{'a': 0.1, 'e': 0.13808783412614847}",20,6,9.751048232399048,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
