date,chg_ted,chg_usd,chg_ffr,chg_cpi,target
12/1/2009,-0.02,-0.424,0,0.725,1
1/1/2010,-0.01,0.8782,-0.01,0.113,0
2/1/2010,-0.05,0.5438,0.02,0.141,1
3/1/2010,-0.02,1.6836,0.03,-0.207,1
4/1/2010,0.03,-0.3059,0.04,0.072,1
5/1/2010,0.15,0.1823,0,0.05,0
6/1/2010,0.11,3.0964,-0.02,-0.113,0
7/1/2010,-0.06,0.567,0,-0.091,1
8/1/2010,-0.14,-2.2969,0.01,0.406,0
9/1/2010,-0.07,-0.8211,0,0.318,1
10/1/2010,0.02,-0.9597,0,0.352,1
11/1/2010,-0.02,-2.6867,0,0.76,0
12/1/2010,0.02,0.5265,-0.01,0.555,1
1/1/2011,-0.01,0.9645,-0.01,0.882,1
2/1/2011,0.03,-0.8664,-0.01,0.715,1
3/1/2011,0.03,-0.9508,-0.02,0.711,0
4/1/2011,0.01,-1.1957,-0.04,1.148,1
5/1/2011,0,-1.2683,-0.01,1.047,0
6/1/2011,-0.01,0.102,0,0.713,0
7/1/2011,0,-0.0858,-0.02,0,0
8/1/2011,0.06,-0.4372,0.03,0.589,0
9/1/2011,0.07,-0.032,-0.02,0.711,0
10/1/2011,0.05,2.137,-0.01,0.491,1
11/1/2011,0.07,0.4341,0.01,0.153,0
12/1/2011,0.09,0.6362,-0.01,0.419,1
1/1/2012,-0.02,1.0185,0.01,0.054,1
2/1/2012,-0.12,0.1383,0.02,0.619,1
3/1/2012,-0.02,-1.0773,0.03,0.487,1
4/1/2012,0,0.673,0.01,0.478,0
5/1/2012,-0.01,-0.1285,0.02,0.38,0
6/1/2012,-0.01,1.1137,0,-0.474,1
7/1/2012,-0.01,1.1091,0,-0.189,1
8/1/2012,-0.03,0.2014,-0.03,0.066,1
9/1/2012,-0.05,-0.97,0.01,1.328,1
10/1/2012,-0.06,-1.6694,0.02,1.097,0
11/1/2012,0,0.1639,0,0.623,1
12/1/2012,0.02,0.8618,0,-0.389,1
1/1/2013,-0.01,-0.4856,-0.02,-0.028,1
2/1/2013,-0.04,0.4425,0.01,0.391,1
3/1/2013,0,0.9959,-0.01,1.373,1
4/1/2013,0.03,1.6525,0.01,-0.686,1
5/1/2013,0.01,-0.0435,-0.04,-0.504,1
6/1/2013,-0.01,0.698,-0.02,0.121,0
7/1/2013,0.01,-0.7232,0,0.458,1
8/1/2013,-0.01,0.9746,-0.01,0.515,0
9/1/2013,0.02,-0.9066,0,0.434,1
